#Downloaded 28 Jan 2017 - ensembl GrCh37 biomart http://grch37.ensembl.org/biomart/martview/7137c8b25d15c013f241a06dab9bdb9f
GeneID	GeneStart	GeneEnd	Strand	AssociatedGeneName	HGNCsymbol	Chromosome_scaffold name
ENSG00000261657	66119285	66465398	1	SLC25A26	SLC25A26	HG991_PATCH
ENSG00000223116	23551994	23552136	-1	AL157931.1		13
ENSG00000233440	23708313	23708703	1	HMGA1P6	HMGA1P6	13
ENSG00000207157	23726725	23726825	-1	RNY3P4	RNY3P4	13
ENSG00000229483	23743974	23744736	-1	LINC00362	LINC00362	13
ENSG00000252952	23791571	23791673	-1	RNU6-58P	RNU6-58P	13
ENSG00000235205	23817659	23821323	1	TATDN2P3	TATDN2P3	13
ENSG00000232849	93708910	93710179	1	LINC00363	LINC00363	13
ENSG00000236803	23841645	23843289	1	SDAD1P4	SDAD1P4	13
ENSG00000232163	23947562	23948200	1	RPLP1P13	RPLP1P13	13
ENSG00000252365	94021100	94021213	-1	SNORD22		13
ENSG00000229558	23993110	24002818	1	SACS-AS1	SACS-AS1	13
ENSG00000235784	94047230	94048108	-1	HNRNPA1P29	HNRNPA1P29	13
ENSG00000224394	94470677	94488397	-1	GPC6-AS2	GPC6-AS2	13
ENSG00000212559	94677724	94677852	-1	RNA5SP35	RNA5SP35	13
ENSG00000232977	24040710	24061603	1	LINC00327	LINC00327	13
ENSG00000236520	94806447	94840245	-1	GPC6-AS1	GPC6-AS1	13
ENSG00000227893	24072935	24077013	1	LINC00352	LINC00352	13
ENSG00000212057	95117554	95117644	-1	AL139318.1		13
ENSG00000222129	95303651	95303783	-1	RNA5SP36	RNA5SP36	13
ENSG00000232102	24340073	24340243	-1	MTCO3P2	MTCO3P2	13
ENSG00000242037	95351479	95351756	-1	RN7SL585P	RN7SL585P	13
ENSG00000238230	95351948	95355116	-1	LINC00391	LINC00391	13
ENSG00000227640	95364970	95368500	1	SOX21-AS1	SOX21-AS1	13
ENSG00000205861	24463028	24471402	1	C1QTNF9B-AS1	C1QTNF9B-AS1	13
ENSG00000235768	95409705	95411526	-1	BRD7P5	BRD7P5	13
ENSG00000237924	95412807	95413269	-1	RPL21P112	RPL21P112	13
ENSG00000260962	95612295	95613573	1	LINC00557	LINC00557	13
ENSG00000252335	95671489	95671590	1	RNU6-62P	RNU6-62P	13
ENSG00000238463	95862598	95862702	1	snoU13		13
ENSG00000223298	95963084	95963209	-1	RNY3P8	RNY3P8	13
ENSG00000196593	24513696	24520921	-1	ANKRD20A19P	ANKRD20A19P	13
ENSG00000200211	95988360	95988455	-1	RNY4P27	RNY4P27	13
ENSG00000271492	96046303	96046708	1	MEMO1P5	MEMO1P5	13
ENSG00000223392	96131698	96186164	-1	CLDN10-AS1	CLDN10-AS1	13
ENSG00000228741	24553949	24609166	1	RP11-309I15.1		13
ENSG00000247400	96300987	96329179	-1	DNAJC3-AS1	DNAJC3-AS1	13
ENSG00000225674	24696204	24697953	-1	IPO7P2	IPO7P2	13
ENSG00000229622	96344792	96346226	1	MTND5P2	MTND5P2	13
ENSG00000252695	24736555	24736643	1	MIR2276	MIR2276	13
ENSG00000227213	24826887	24828577	-1	SPATA13-AS1	SPATA13-AS1	13
ENSG00000227714	96346237	96346749	-1	MTND6P18	MTND6P18	13
ENSG00000240868	24889863	24895736	-1	C1QTNF9-AS1	C1QTNF9-AS1	13
ENSG00000232373	96346823	96347959	1	MTCYBP3	MTCYBP3	13
ENSG00000234627	24902349	24903210	1	NUS1P3	NUS1P3	13
ENSG00000251901	96366931	96367032	-1	snR65		13
ENSG00000261498	24905588	24911259	1	LINC00566	LINC00566	13
ENSG00000226977	96461564	96461861	-1	HMGN1P24	HMGN1P24	13
ENSG00000233545	24974841	24975167	1	CYCSP33	CYCSP33	13
ENSG00000242614	96821799	96822099	1	RN7SL164P	RN7SL164P	13
