gene_id,ensembl_gene_id,hgnc_symbol,chromosome_name,start_position,end_position
23801,ENSG00000235205,TATDN2P3,13,23817659,23821323
22641,ENSG00000232163,RPLP1P13,13,23947562,23948200
21642,ENSG00000229558,SACS-AS1,13,23993110,24002818
22944,ENSG00000232977,LINC00327,13,24040710,24061603
25714,ENSG00000242037,RN7SL585P,13,95351479,95351756
24980,ENSG00000238230,LINC00391,13,95351948,95355116
20927,ENSG00000227640,SOX21-AS1,13,95364970,95368500
17525,ENSG00000205861,C1QTNF9B-AS1,13,24463028,24471402
31470,ENSG00000260962,LINC00557,13,95612295,95613573
19254,ENSG00000223298,RNY3P8,13,95963084,95963209
15981,ENSG00000196593,ANKRD20A19P,13,24513696,24520921
19277,ENSG00000223392,CLDN10-AS1,13,96131698,96186164
21338,ENSG00000228741,,13,24553949,24609166
26580,ENSG00000247400,DNAJC3-AS1,13,96300987,96329179
20160,ENSG00000225674,IPO7P2,13,24696204,24697953
21664,ENSG00000229622,MTND5P2,13,96344792,96346226
20762,ENSG00000227213,SPATA13-AS1,13,24826887,24828577
20955,ENSG00000227714,MTND6P18,13,96346237,96346749
25452,ENSG00000240868,C1QTNF9-AS1,13,24889863,24895736
22710,ENSG00000232373,MTCYBP3,13,96346823,96347959
23570,ENSG00000234627,NUS1P3,13,24902349,24903210
20657,ENSG00000226977,HMGN1P24,13,96461564,96461861
23063,ENSG00000233273,AMMECR1LP1,13,97225913,97226753
26015,ENSG00000243300,LINC00359,13,97593535,97636426
25947,ENSG00000243008,,13,25141011,25171814
34759,ENSG00000272329,,13,97600272,97601838
16872,ENSG00000202290,RNA5SP37,13,98015226,98015355
20543,ENSG00000226695,ANKRD20A10P,13,25324795,25326309
20343,ENSG00000226134,,13,98327265,98330217
28278,ENSG00000253771,TPTE2P1,13,25498815,25542625
33732,ENSG00000269189,,13,98885904,98886954
33839,ENSG00000269599,,13,98981909,98985490
27717,ENSG00000251299,SLC25A15P3,13,25517713,25518636
22273,ENSG00000231194,FARP1-AS1,13,99087659,99088094
34405,ENSG00000271437,,13,99205497,99206034
19658,ENSG00000224418,STK24-AS1,13,99229498,99231084
23357,ENSG00000234056,AMER2-AS1,13,25746966,25754217
24961,ENSG00000238169,LINC01053,13,25755579,25763898
31235,ENSG00000260509,,13,25874262,25875576
22573,ENSG00000231981,RPL7L1P12,13,99601973,99602701
23387,ENSG00000234152,TCEB2P1,13,25939937,25940293
31486,ENSG00000260992,DOCK9-AS2,13,99740073,99740879
14072,ENSG00000180803,,13,26437388,26437805
22575,ENSG00000231983,LINC00415,13,26626414,26627523
23339,ENSG00000234005,GAPDHP22,13,99842833,99843245
21404,ENSG00000228889,UBAC2-AS1,13,99848631,99852964
23316,ENSG00000233963,ATP8A2P3,13,26688547,26728313
18911,ENSG00000218502,H2AFZP3,13,99867626,99868012
21368,ENSG00000228808,HMGB3P4,13,100024427,100024940
24983,ENSG00000238241,CCR12P,13,100060035,100061316
16928,ENSG00000203441,LINC00449,13,100151981,100153306
23348,ENSG00000234031,RPS3AP44,13,27151023,27151812
20932,ENSG00000227659,CLYBL-AS2,13,100342335,100343225
23448,ENSG00000234303,CLYBL-AS1,13,100378501,100379745
22060,ENSG00000230641,USP12-AS2,13,27746396,27757135
23626,ENSG00000234772,LINC00412,13,27810419,27810948
17710,ENSG00000207500,SNORD102,13,27829201,27829272
17663,ENSG00000207051,SNORA27,13,27829538,27829663
21658,ENSG00000229609,LINC01079,13,27947485,27948503
24331,ENSG00000236554,ASNSP3,13,100714550,100715855
16947,ENSG00000203602,,13,28008286,28008752
23579,ENSG00000234650,PCCA-AS1,13,101116694,101133411
26579,ENSG00000247381,PDX1-AS1,13,28407581,28495541
31332,ENSG00000260704,LINC00543,13,28527663,28529507
25797,ENSG00000242360,RN7SL272P,13,28563435,28563721
19633,ENSG00000224356,,13,101187995,101232371
23765,ENSG00000235115,CHCHD2P8,13,28681568,28682014
23462,ENSG00000234354,RPS26P47,13,101192089,101192528
31732,ENSG00000261485,PAN3-AS1,13,28710980,28712330
24530,ENSG00000237082,COX5BP6,13,101276129,101276683
22801,ENSG00000232587,EEF1A1P3,13,28788650,28790034
22957,ENSG00000233009,NALCN-AS1,13,101360579,101711638
23902,ENSG00000235472,EIF4A1P7,13,29172970,29174189
23182,ENSG00000233588,CYP51A1P2,13,29296523,29298158
34769,ENSG00000272349,,13,102369198,102369728
24401,ENSG00000236758,MTUS2-AS2,13,29813516,29824691
18687,ENSG00000215399,HMGB3P7,13,102454228,102454838
19297,ENSG00000223460,GAPDHP69,13,29880915,29881922
21798,ENSG00000229975,LIPT1P1,13,102654475,102655660
13804,ENSG00000179141,MTUS2-AS1,13,30050652,30064242
26022,ENSG00000243319,FGF14-IT1,13,102944677,103046869
23497,ENSG00000234445,FGF14-AS1,13,103019889,103026016
4998,ENSG00000122043,LINC00544,13,30510042,30524625
34670,ENSG00000272143,FGF14-AS2,13,103046980,103048053
34186,ENSG00000270581,,13,103053821,103054807
19694,ENSG00000224511,LINC00365,13,30677315,30683012
33945,ENSG00000269942,,13,103331776,103332308
22627,ENSG00000232117,LINC00384,13,30726023,30733758
27554,ENSG00000250878,METTL21EP,13,103532449,103548383
34858,ENSG00000272542,,13,103541208,103542184
24281,ENSG00000236463,LINC00427,13,30890497,30894040
24941,ENSG00000238121,LINC00426,13,30914407,30951282
19910,ENSG00000225039,LINC01058,13,30993656,30996374
24274,ENSG00000236444,UBE2L5P,13,31002084,31002656
18176,ENSG00000213411,RBM22P2,13,31113734,31117598
23166,ENSG00000233532,LINC00460,13,107028911,107030565
22757,ENSG00000232489,MFAP1P1,13,31115780,31117034
19546,ENSG00000224117,PTPN2P2,13,31127807,31128830
34735,ENSG00000272274,LINC00551,13,107270158,107283707
