gene_id,ensembl_gene_id,hgnc_symbol,chromosome_name,start_position,end_position
1,ENSG00000000419,DPM1,20,49551404,49575092
2,ENSG00000000457,SCYL3,1,169818772,169863408
3,ENSG00000000460,C1orf112,1,169631245,169823221
4,ENSG00000000938,FGR,1,27938575,27961788
5,ENSG00000000971,CFH,1,196621008,196716634
6,ENSG00000001036,FUCA2,6,143815948,143832827
7,ENSG00000001084,GCLC,6,53362139,53481768
8,ENSG00000001167,NFYA,6,41040684,41067715
9,ENSG00000001460,STPG1,1,24683489,24743424
10,ENSG00000001461,NIPAL3,1,24742284,24799466
11,ENSG00000001561,ENPP4,6,46097730,46114436
12,ENSG00000001617,SEMA3F,3,50192478,50226508
13,ENSG00000001626,CFTR,7,117105838,117356025
14,ENSG00000001629,ANKIB1,7,91875548,92030698
15,ENSG00000001630,CYP51A1,7,91741465,91772266
16,ENSG00000001631,KRIT1,7,91828283,91875480
17,ENSG00000002016,RAD52,12,1021243,1099219
18,ENSG00000002079,MYH16,7,98836417,98908753
19,ENSG00000002330,BAD,11,64037302,64052176
20,ENSG00000002549,LAP3,4,17578815,17609595
21,ENSG00000002587,HS3ST1,4,11394774,11431389
22,ENSG00000002726,AOC1,7,150521715,150558592
23,ENSG00000002745,WNT16,7,120965421,120981158
24,ENSG00000002746,HECW1,7,43152198,43605600
25,ENSG00000002822,MAD1L1,7,1855429,2272878
26,ENSG00000002834,LASP1,17,37026112,37078023
27,ENSG00000002919,SNX11,17,46180719,46200436
28,ENSG00000002933,TMEM176A,7,150497491,150502208
29,ENSG00000003056,M6PR,12,9092959,9102551
30,ENSG00000003137,CYP26B1,2,72356367,72375167
31,ENSG00000003147,ICA1,7,8152814,8302317
32,ENSG00000003249,DBNDD1,16,90071273,90086536
33,ENSG00000003393,ALS2,2,202565277,202645912
34,ENSG00000003400,CASP10,2,202047604,202094129
35,ENSG00000003402,CFLAR,2,201980827,202041410
36,ENSG00000003436,TFPI,2,188328957,188430487
37,ENSG00000003509,NDUFAF7,2,37458774,37480546
38,ENSG00000003756,RBM5,3,50126341,50156454
39,ENSG00000003987,MTMR7,8,17155539,17271037
40,ENSG00000003989,SLC7A2,8,17354597,17428082
41,ENSG00000004059,ARF5,7,127228399,127231759
42,ENSG00000004139,SARM1,17,26691378,26728065
43,ENSG00000004142,POLDIP2,17,26673659,26684545
44,ENSG00000004399,PLXND1,3,129274018,129325661
45,ENSG00000004455,AK2,1,33473585,33546597
46,ENSG00000004468,CD38,4,15779898,15854853
47,ENSG00000004478,FKBP4,12,2904119,2914576
48,ENSG00000004487,KDM1A,1,23345941,23410182
49,ENSG00000004534,RBM6,3,49977440,50137478
50,ENSG00000004660,CAMKK1,17,3763609,3798185
51,ENSG00000004700,RECQL,12,21621845,21654603
52,ENSG00000004766,CCDC132,7,92861653,92988338
53,ENSG00000004776,HSPB6,19,36245469,36248980
54,ENSG00000004777,ARHGAP33,19,36265434,36279724
55,ENSG00000004779,NDUFAB1,16,23592323,23607677
56,ENSG00000004799,PDK4,7,95212811,95225803
57,ENSG00000004809,SLC22A16,6,110745890,110797844
58,ENSG00000004838,ZMYND10,3,50378541,50384283
59,ENSG00000004846,ABCB5,7,20654830,20816658
60,ENSG00000004864,SLC25A13,7,95749532,95951459
61,ENSG00000004866,ST7,7,116593292,116870157
62,ENSG00000004897,CDC27,17,45195069,45266788
63,ENSG00000004939,SLC4A1,17,42325753,42345509
64,ENSG00000004948,CALCR,7,93053799,93204042
65,ENSG00000004975,DVL2,17,7128660,7137864
66,ENSG00000005001,PRSS22,16,2902728,2908171
67,ENSG00000005007,UPF1,19,18942747,18979045
68,ENSG00000005020,SKAP2,7,26706681,27034858
69,ENSG00000005059,CCDC109B,4,110481361,110609874
70,ENSG00000005073,HOXA11,7,27221129,27224842
71,ENSG00000005075,POLR2J,7,102113565,102119354
72,ENSG00000005100,DHX33,17,5344232,5372380
73,ENSG00000005102,MEOX1,17,41717756,41739322
74,ENSG00000005108,THSD7A,7,11409984,11871824
75,ENSG00000005156,LIG3,17,33307513,33332083
76,ENSG00000005175,RPAP3,12,48057070,48099844
77,ENSG00000005187,ACSM3,16,20621565,20808903
79,ENSG00000005194,CIAPIN1,16,57462081,57481440
80,ENSG00000005206,SPPL2B,19,2328614,2355099
81,ENSG00000005238,FAM214B,9,35104109,35116338
82,ENSG00000005243,COPZ2,17,46103533,46115392
83,ENSG00000005249,PRKAR2B,7,106685094,106802256
84,ENSG00000005339,CREBBP,16,3775055,3930727
85,ENSG00000005379,BZRAP1,17,56378592,56406152
86,ENSG00000005381,MPO,17,56347217,56358296
87,ENSG00000005421,PON1,7,94926988,95025673
88,ENSG00000005436,GCFC2,2,75879126,75938115
89,ENSG00000005448,WDR54,2,74648805,74652882
90,ENSG00000005469,CROT,7,86974997,87029111
91,ENSG00000005471,ABCB4,7,87031013,87109751
92,ENSG00000005483,KMT2E,7,104654626,104754808
93,ENSG00000005486,RHBDD2,7,75471920,75518244
94,ENSG00000005513,SOX8,16,1031808,1036979
95,ENSG00000005700,IBTK,6,82879700,82957471
96,ENSG00000005801,ZNF195,11,3360491,3400448
97,ENSG00000005810,MYCBP2,13,77618792,77901185
98,ENSG00000005812,FBXL3,13,77566740,77601330
99,ENSG00000005844,ITGAL,16,30483979,30534506
100,ENSG00000005882,PDK2,17,48172101,48189516
101,ENSG00000005884,ITGA3,17,48133332,48167845
102,ENSG00000005955,GGNBP2,17,34900737,34946278
103,ENSG00000005961,ITGA2B,17,42449548,42466873
104,ENSG00000005981,ASB4,7,95107756,95169544
